depth,curve,curveName,UWI
505.000,65.934,GR,00/01-01-073-05W5/0
505.250,66.088,GR,00/01-01-073-05W5/0
505.500,66.920,GR,00/01-01-073-05W5/0
505.750,69.311,GR,00/01-01-073-05W5/0
506.000,71.389,GR,00/01-01-073-05W5/0
506.250,72.534,GR,00/01-01-073-05W5/0
506.500,73.311,GR,00/01-01-073-05W5/0
506.750,73.535,GR,00/01-01-073-05W5/0
507.000,73.374,GR,00/01-01-073-05W5/0
507.250,71.667,GR,00/01-01-073-05W5/0
507.500,68.600,GR,00/01-01-073-05W5/0
507.750,64.040,GR,00/01-01-073-05W5/0
508.000,58.182,GR,00/01-01-073-05W5/0
508.250,56.600,GR,00/01-01-073-05W5/0
508.500,54.277,GR,00/01-01-073-05W5/0
508.750,53.439,GR,00/01-01-073-05W5/0
509.000,54.772,GR,00/01-01-073-05W5/0
509.250,56.603,GR,00/01-01-073-05W5/0
509.500,55.887,GR,00/01-01-073-05W5/0
509.750,53.439,GR,00/01-01-073-05W5/0
510.000,51.860,GR,00/01-01-073-05W5/0
510.250,52.758,GR,00/01-01-073-05W5/0
510.500,54.089,GR,00/01-01-073-05W5/0
510.750,56.108,GR,00/01-01-073-05W5/0
511.000,57.382,GR,00/01-01-073-05W5/0
511.250,58.157,GR,00/01-01-073-05W5/0
511.500,58.556,GR,00/01-01-073-05W5/0
511.750,58.967,GR,00/01-01-073-05W5/0
512.000,59.176,GR,00/01-01-073-05W5/0
512.250,59.208,GR,00/01-01-073-05W5/0
512.500,58.744,GR,00/01-01-073-05W5/0
512.750,57.476,GR,00/01-01-073-05W5/0
513.000,56.200,GR,00/01-01-073-05W5/0
513.250,55.987,GR,00/01-01-073-05W5/0
513.500,57.566,GR,00/01-01-073-05W5/0
513.750,56.295,GR,00/01-01-073-05W5/0
514.000,51.179,GR,00/01-01-073-05W5/0
514.250,52.141,GR,00/01-01-073-05W5/0
514.500,54.097,GR,00/01-01-073-05W5/0
514.750,55.429,GR,00/01-01-073-05W5/0
515.000,55.834,GR,00/01-01-073-05W5/0
515.250,56.180,GR,00/01-01-073-05W5/0
515.500,56.700,GR,00/01-01-073-05W5/0
515.750,57.849,GR,00/01-01-073-05W5/0
516.000,58.129,GR,00/01-01-073-05W5/0
516.250,57.913,GR,00/01-01-073-05W5/0
516.500,55.089,GR,00/01-01-073-05W5/0
516.750,49.849,GR,00/01-01-073-05W5/0
517.000,51.746,GR,00/01-01-073-05W5/0
517.250,53.015,GR,00/01-01-073-05W5/0
517.500,49.884,GR,00/01-01-073-05W5/0
517.750,48.052,GR,00/01-01-073-05W5/0
518.000,51.060,GR,00/01-01-073-05W5/0
518.250,53.822,GR,00/01-01-073-05W5/0
518.500,55.404,GR,00/01-01-073-05W5/0
518.750,55.374,GR,00/01-01-073-05W5/0
519.000,54.041,GR,00/01-01-073-05W5/0
519.250,52.086,GR,00/01-01-073-05W5/0
519.500,48.955,GR,00/01-01-073-05W5/0
519.750,49.173,GR,00/01-01-073-05W5/0
520.000,51.558,GR,00/01-01-073-05W5/0
520.250,51.280,GR,00/01-01-073-05W5/0
520.500,50.632,GR,00/01-01-073-05W5/0
520.750,51.097,GR,00/01-01-073-05W5/0
521.000,54.292,GR,00/01-01-073-05W5/0
521.250,60.087,GR,00/01-01-073-05W5/0
521.500,59.002,GR,00/01-01-073-05W5/0
521.750,55.747,GR,00/01-01-073-05W5/0
522.000,51.065,GR,00/01-01-073-05W5/0
522.250,51.035,GR,00/01-01-073-05W5/0
522.500,52.120,GR,00/01-01-073-05W5/0
522.750,55.561,GR,00/01-01-073-05W5/0
523.000,55.469,GR,00/01-01-073-05W5/0
523.250,52.154,GR,00/01-01-073-05W5/0
523.500,51.502,GR,00/01-01-073-05W5/0
523.750,53.455,GR,00/01-01-073-05W5/0
524.000,57.085,GR,00/01-01-073-05W5/0
524.250,62.322,GR,00/01-01-073-05W5/0
524.500,65.767,GR,00/01-01-073-05W5/0
524.750,64.743,GR,00/01-01-073-05W5/0
525.000,71.159,GR,00/01-01-073-05W5/0
525.250,72.681,GR,00/01-01-073-05W5/0
525.500,71.038,GR,00/01-01-073-05W5/0
525.750,67.471,GR,00/01-01-073-05W5/0
526.000,59.750,GR,00/01-01-073-05W5/0
526.250,59.537,GR,00/01-01-073-05W5/0
526.500,61.364,GR,00/01-01-073-05W5/0
526.750,61.830,GR,00/01-01-073-05W5/0
527.000,62.051,GR,00/01-01-073-05W5/0
527.250,62.264,GR,00/01-01-073-05W5/0
527.500,61.612,GR,00/01-01-073-05W5/0
527.750,57.180,GR,00/01-01-073-05W5/0
528.000,57.400,GR,00/01-01-073-05W5/0
528.250,58.608,GR,00/01-01-073-05W5/0
528.500,59.879,GR,00/01-01-073-05W5/0
528.750,61.401,GR,00/01-01-073-05W5/0
